cellI,surfNorm_x,surfNorm_y,surfNorm_z,sigma,yOrtho,intCell0,intCell1,intCell2,intPoint0_x,intPoint0_y,intPoint0_z,intPoint1_x,intPoint1_y,intPoint1_z,intPoint2_x,intPoint2_y,intPoint2_z
158509,0.9369064871,-0.3495800831,-2.614711029e-15,-0.0001243964049,0.0001243964049,158509,158510,158111,0.1093834522,-0.003456513494,0.0005,0.110326853,-0.003808516751,0.0005,0.1112702538,-0.004160520007,0.0005
158889,-0.9724332283,-0.2331815099,-4.780045472e-15,0.0002937013235,0.0007938643315,158889,158888,158487,0.09027198005,-0.002314885517,0.0005,0.08831363243,-0.00278448121,0.0005,0.08733445861,-0.003019279057,0.0005
158910,0.9720350841,-0.2348356771,-2.704204659e-12,0.0002948839684,0.0007936849801,158910,158911,158512,0.1097285104,-0.00231361445,0.0005,0.1116860562,-0.002786541411,0.0005,0.1126648291,-0.003023004891,0.0005
159289,-0.9890119816,-0.147835382,-6.611602421e-15,0.0004098589371,0.0006067436883,159289,159288,159287,0.09010007678,-0.001410301815,0.0005,0.08810834181,-0.001708022071,0.0005,0.08711247432,-0.001856882199,0.0005
159310,0.988842841,-0.1489625314,-7.150938666e-16,0.0004103670064,0.0006064670518,159310,159311,159312,0.1099002994,-0.001409659133,0.0005,0.1118916937,-0.001709649313,0.0005,0.1128873909,-0.001859644404,0.0005
159689,-0.9990515513,-0.04354305838,-8.467131767e-16,0.0004888014873,0.0005121933624,159689,159687,159686,0.09001170757,-0.0004776975345,0.0005,0.08799975428,-0.0005653873034,0.0005,0.08699377764,-0.0006092321878,0.0005
159710,0.9989486315,-0.04584355594,-8.46390007e-16,0.0004887146161,0.0005123889288,159710,159711,159713,0.1099881498,-0.0004765102695,0.0005,0.1119998958,-0.0005688329261,0.0005,0.1130057688,-0.0006149942544,0.0005
160089,-0.9990515513,0.04354305838,-8.467131767e-16,0.0004888014873,0.0005121933624,160089,160087,160086,0.09001170757,0.0004776975345,0.0005,0.08799975428,0.0005653873034,0.0005,0.08699377764,0.0006092321878,0.0005
160110,0.9989486315,0.04584355594,-7.553269061e-11,0.0004887146161,0.0005123889288,160110,160111,160113,0.1099881498,0.0004765102695,0.0005,0.1119998958,0.0005688329261,0.0004999999999,0.1130057688,0.0006149942544,0.0004999999998
160489,-0.9890119816,0.147835382,-1.21510531e-14,0.0004098589371,0.0006067436883,160489,160488,160487,0.09010007678,0.001410301815,0.0005,0.08810834181,0.001708022071,0.0005,0.08711247432,0.001856882199,0.0005
160510,0.988842841,0.1489625314,-6.257071332e-15,0.0004103670064,0.0006064670518,160510,160511,160512,0.1099002994,0.001409659133,0.0005,0.1118916937,0.001709649313,0.0005,0.1128873909,0.001859644404,0.0005
160889,-0.9724332283,0.2331815099,4.526744034e-11,0.0002937013235,0.0007938643315,160889,160888,161287,0.09027198005,0.002314885517,0.0005,0.08831363243,0.00278448121,0.0005000000001,0.08733445861,0.003019279057,0.0005000000001
160910,0.9720350841,0.2348356771,-5.464143582e-16,0.0002948839684,0.0007936849801,160910,160911,161312,0.1097285104,0.00231361445,0.0005,0.1116860562,0.002786541411,0.0005,0.1126648291,0.003023004891,0.0005
161290,-0.9367105901,0.3501046564,-3.483055728e-15,-0.0001245116079,0.0001245116079,161290,161289,161688,0.09061663134,0.003456407906,0.0005,0.08967342778,0.003808939372,0.0005,0.08873022423,0.004161470838,0.0005
161309,0.9369064871,0.3495800831,-3.486281372e-15,-0.0001243964049,0.0001243964049,161309,161310,161711,0.1093834522,0.003456513494,0.0005,0.110326853,0.003808516751,0.0005,0.1112702538,0.004160520007,0.0005
161690,-0.9024504445,0.4307936806,-6.349772156e-16,-0.0005122398785,0.0005122398785,161690,162089,162088,0.09096227111,0.004279330297,0.0005,0.08914485924,0.005146889897,0.0005,0.08823615331,0.005580669697,0.0005
161709,0.9028982066,0.4298544271,-6.349401174e-16,-0.0005122698075,0.0005122698075,161709,162110,162111,0.1090374725,0.004279798555,0.0005,0.1108557861,0.005145466627,0.0005,0.1117649429,0.005578300662,0.0005
162091,-0.8433233072,0.5374065496,-3.051410436e-14,-0.0001243591344,0.0001243591344,162091,162090,162489,0.09160487496,0.005433168587,0.0005,0.09075570601,0.005974300261,0.0005,0.08990653707,0.006515431934,0.0005
162108,0.8454113621,0.5341157447,2.444948668e-14,-0.0001241648188,0.0001241648188,162108,162109,162510,0.1083950297,0.005433681615,0.0005,0.1092463011,0.005971499674,0.0005,0.1100975726,0.006509317732,0.0005
162491,-0.7931845441,0.6089813453,-4.641175954e-16,0.0006159467348,0.0007008151705,162491,162890,162889,0.09205587576,0.006073216635,0.0005,0.09045851049,0.007299621839,0.0005,0.08965982785,0.007912824442,0.0005
162508,0.7940093408,0.6079055574,-6.186272009e-16,0.0006149739255,0.0007010375042,162508,162909,162910,0.1079433697,0.006073835405,0.0005,0.109542396,0.00729807412,0.0005,0.1103419091,0.007910193477,0.0005
162892,-0.7070830593,0.7071305023,-5.362219439e-16,-0.0006065784056,0.0006065784056,162892,163291,163690,0.09292890131,0.007071069907,0.0005,0.09150493266,0.008495134101,0.0005,0.09079294834,0.009207166198,0.0005
162907,0.7071665743,0.707046983,-7.148781475e-16,-0.0006066500571,0.0006066500571,162907,163308,163709,0.1070709974,0.007071069907,0.0005,0.1084951342,0.008494965905,0.0005,0.1092072026,0.009206913903,0.0005
163293,-0.6089061232,0.7932422915,9.282269595e-15,0.0006158800945,0.0007008213852,163293,163692,164092,0.09392673443,0.007944078838,0.0005,0.09270048072,0.009541560407,0.0005,0.09208735386,0.01034030119,0.0005
163294,-0.5372700887,0.8434102512,-3.487683685e-15,-0.0001243463881,0.0001243463881,163294,163694,164093,0.09456680759,0.008395124982,0.0005,0.09402581333,0.009244381473,0.0005,0.09348481906,0.01009363797,0.0005
163305,0.5377927854,0.8430770546,-3.481942294e-15,-0.0001245514234,0.0001245514234,163305,163705,164106,0.1054330171,0.008394993553,0.0005,0.1059745377,0.009243914538,0.0005,0.1065160583,0.01009283552,0.0005
163306,0.6072592155,0.7945037729,-9.808617209e-13,0.0006144467935,0.0007007962108,163306,163707,164107,0.106074435,0.007943214766,0.0005,0.1072973721,0.009543236786,0.0005,0.1079088406,0.0103432478,0.0005
163695,-0.4305924589,0.9025464721,-8.466404136e-16,-0.0005122373821,0.0005122373821,163695,164094,164494,0.09572056555,0.009037681958,0.0005,0.09485341119,0.01085528721,0.0005,0.094419834,0.01176408983,0.0005
163696,-0.3502157921,0.9366690445,-3.222421091e-14,-0.0001244886353,0.0001244886353,163696,164096,164495,0.09654359789,0.009383395349,0.0005,0.09619095451,0.01032655707,0.0005,0.09583831114,0.0112697188,0.0005
163703,0.3492660535,0.9370235984,-4.353483791e-15,-0.0001245212139,0.0001245212139,163703,164103,164504,0.103456509,0.009383320684,0.0005,0.103808196,0.01032683942,0.0005,0.1041598831,0.01127035816,0.0005
163704,0.4294832764,0.9030748116,-8.466201439e-16,-0.000512249646,0.000512249646,163704,164105,164505,0.1042799973,0.009037400247,0.0005,0.105144918,0.0108560695,0.0005,0.1055773783,0.01176540413,0.0005
164097,-0.2334343082,0.9723725746,-4.097096703e-16,0.0002938552029,0.0007938808267,164097,164497,164896,0.09768531902,0.009728052057,0.0005,0.09721521423,0.01168627754,0.0005,0.09698016183,0.01266539027,0.0005
164098,-0.1478383548,0.9890115373,-6.253978335e-15,0.0004098378628,0.000606766989,164098,164498,164898,0.09858970343,0.009899900447,0.0005,0.09829197719,0.01189163452,0.0005,0.09814311407,0.01288750156,0.0005
164099,-0.04359210925,0.9990494122,-8.467162093e-16,0.0004888055558,0.000512191528,164099,164899,165299,0.09952232751,0.009988295355,0.0005,0.09943453896,0.01200024434,0.0005,0.09939064468,0.01300621883,0.0005
164100,0.04369271237,0.9990450174,-6.350212417e-16,0.0004887973754,0.0005122043648,164100,164900,165300,0.1004776204,0.009988284781,0.0005,0.1005656116,0.01200022491,0.0005,0.1006096071,0.01300619498,0.0005
164101,0.14834569,0.9889355673,-7.147817136e-16,0.0004099830302,0.0006067319026,164101,164501,164901,0.1014099939,0.009899981242,0.0005,0.1017087419,0.01189156232,0.0005,0.1018581159,0.01288735287,0.0005
164102,0.2343584178,0.972150262,-5.463169503e-16,0.0002944880888,0.0007938264934,164102,164502,164903,0.1023139601,0.009728281366,0.0005,0.1027859259,0.01168605914,0.0005,0.1030219088,0.01266494802,0.0005
